Конфигурация каналов,Скорость передачи данных (Mbps) - Сеть 1,Потери пакетов (%) - Сеть 1,Задержка (мс) - Сеть 1,RSSI (dBm) - Сеть 1,Скорость передачи данных (Mbps) - Сеть 2,Потери пакетов (%) - Сеть 2,Задержка (мс) - Сеть 2,RSSI (dBm) - Сеть 2
1-2,8.5,22.5,42,-74,8.2,23.0,43,-75
1-3,12.3,15.8,36,-71,11.7,16.5,37,-72
1-4,17.5,9.2,29,-68,16.9,10.1,30,-69
1-5,19.8,7.1,26,-66,18.7,7.8,27,-67
2-3,9.4,20.1,40,-73,9.0,21.3,41,-74
2-4,15.6,11.4,33,-69,14.8,12.0,34,-70
2-5,20.2,5.5,23,-65,19.5,6.2,24,-66
2-6,21.6,4.2,20,-64,21.0,4.9,21,-65
3-4,11.9,17.0,38,-71,11.4,17.6,39,-72
3-5,17.3,8.5,27,-67,16.5,9.1,28,-68
3-6,22.0,3.9,18,-63,21.5,4.1,19,-64
3-7,21.1,4.5,19,-64,20.4,4.8,20,-65
4-5,10.8,19.6,35,-72,10.1,20.2,36,-73
4-6,18.3,6.8,24,-66,17.7,7.5,25,-67
4-7,21.4,4.3,18,-63,20.7,4.7,19,-64
4-8,20.6,5.1,21,-65,19.9,5.5,22,-65
5-6,14.0,12.0,30,-69,13.6,13.0,31,-70
5-7,20.9,4.8,20,-64,20.0,5.3,21,-65
5-8,22.2,3.6,17,-62,21.6,3.9,18,-63
5-9,21.3,4.0,19,-63,20.8,4.3,20,-64
6-7,11.7,18.2,36,-71,11.2,19.0,37,-72
6-8,19.7,5.7,23,-66,19.1,6.1,24,-67
6-9,22.3,3.3,17,-62,21.7,3.6,18,-63
6-10,21.5,4.0,19,-63,21.2,4.1,20,-64
7-8,10.2,21.0,39,-72,9.9,22.0,40,-73
7-9,18.5,6.9,25,-67,17.9,7.5,26,-68
7-10,21.8,3.8,18,-62,21.3,4.2,19,-63
7-11,21.1,4.3,20,-63,20.7,4.9,21,-64
8-9,12.0,17.2,33,-70,11.3,18.5,34,-71
8-10,19.8,5.4,22,-65,19.3,5.9,23,-66
8-11,22.0,3.5,17,-62,21.8,3.8,18,-63
8-12,20.9,4.6,20,-63,20.3,4.9,21,-64
9-10,9.8,23.1,42,-74,9.5,24.0,43,-75
9-11,19.1,5.7,24,-66,18.8,6.1,24,-67
9-12,21.6,4.1,20,-63,21.1,4.4,21,-64
9-13,20.4,4.9,22,-64,19.7,5.3,23,-65
10-11,11.2,18.0,34,-71,10.6,18.8,35,-72
10-12,18.7,6.3,25,-67,18.2,6.8,26,-68
10-13,21.9,3.7,18,-62,21.6,3.9,19,-63
11-12,13.1,15.4,32,-69,12.5,16.2,33,-70
11-13,19.6,5.8,22,-66,19.3,5.5,22,-66
12-13,10.5,20.4,36,-73,9.8,21.5,37,-74
